country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Belize	BLZ	America	397621	deaths	1.0	2022-20	2.51495771098609	677	Epidemic intelligence national data		2022-05-29
Benin	BEN	Africa	12123198	cases	0.0	2022-20	0.0	26952	Epidemic intelligence national data		2022-05-29
Benin	BEN	Africa	12123198	deaths	0.0	2022-20	0.0	163	Epidemic intelligence national data		2022-05-29
Bermuda	BMU	America	62273	cases	307.0	2022-20	979.557753761662	14442	Epidemic intelligence national data		2022-05-29
Bermuda	BMU	America	62273	deaths	2.0	2022-20	48.1749714964752	137	Epidemic intelligence national data		2022-05-29
Bhutan	BTN	Asia	771612	cases	44.0	2022-20	15.1630612276637	59614	Epidemic intelligence national data		2022-05-29
Bhutan	BTN	Asia	771612	deaths	0.0	2022-20	0.0	21	Epidemic intelligence national data		2022-05-29
Bolivia	BOL	America	11673029	cases	522.0	2022-20	12.6016991819347	906743	Epidemic intelligence national data		2022-05-29
Bolivia	BOL	America	11673029	deaths	17.0	2022-20	1.62768378284677	21943	Epidemic intelligence national data		2022-05-29
Bonaire, Saint Eustatius And Saba	BES	America	26221	cases	58.0	2022-20	507.22703176843	10076	Epidemic intelligence national data		2022-05-29
Bonaire, Saint Eustatius And Saba	BES	America	26221	deaths	0.0	2022-20	0.0	35	Epidemic intelligence national data		2022-05-29
Bosnia And Herzegovina	BIH	Europe	3280815	cases	166.0	2022-20	11.887290200758	377745	Epidemic intelligence national data		2022-05-29
Bosnia And Herzegovina	BIH	Europe	3280815	deaths	4.0	2022-20	4.2672323797593	15785	Epidemic intelligence national data		2022-05-29
Botswana	BWA	Africa	2351625	cases	496.0	2022-20	21.0917982246319	306716	Epidemic intelligence national data		2022-05-29
Botswana	BWA	Africa	2351625	deaths	5.0	2022-20	2.12618933716047	2703	Epidemic intelligence national data		2022-05-29
Brazil	BRA	America	212559409	cases	102830.0	2022-20	106.645008596162	30791220	Epidemic intelligence national data		2022-05-29
Brazil	BRA	America	212559409	deaths	709.0	2022-20	7.00039582816115	665627	Epidemic intelligence national data		2022-05-29
British Virgin Islands	VGB	America	30237	cases	117.0	2022-20	1107.91414492179	6690	Epidemic intelligence national data		2022-05-29
British Virgin Islands	VGB	America	30237	deaths	55.0	2022-20	1818.96352151338	117	Epidemic intelligence national data		2022-05-29
Brunei Darussalam	BRN	Asia	437483	cases	1656.0	2022-20	790.202133568619	146315	Epidemic intelligence national data		2022-05-29
Brunei Darussalam	BRN	Asia	437483	deaths	1.0	2022-20	2.2858031054921	160	Epidemic intelligence national data		2022-05-29
Bulgaria	BGR	Europe	6916548	cases	1813.0	2022-20	60.2468167646635	1163317	TESSy COVID-19		2022-05-29
Bulgaria	BGR	Europe	6916548	deaths	45.0	2022-20	17.9280184276897	37090	TESSy COVID-19		2022-05-29
Burkina Faso	BFA	Africa	20903278	cases	0.0	2022-20	0.0	20899	Epidemic intelligence national data		2022-05-29
Burkina Faso	BFA	Africa	20903278	deaths	0.0	2022-20	0.0	384	Epidemic intelligence national data		2022-05-29
Burundi	BDI	Africa	11890781	cases	371.0	2022-20	6.39991603579277	41606	Epidemic intelligence national data		2022-05-29
Burundi	BDI	Africa	11890781	deaths	0.0	2022-20	0.0	15	Epidemic intelligence national data		2022-05-29
Cambodia	KHM	Asia	16718971	cases	0.0	2022-20	0.0	136262	Epidemic intelligence national data		2022-05-29
Cambodia	KHM	Asia	16718971	deaths	0.0	2022-20	0.0	3056	Epidemic intelligence national data		2022-05-29
Cameroon	CMR	Africa	26545864	cases	0.0	2022-20	0.0	119780	Epidemic intelligence national data		2022-05-29
Cameroon	CMR	Africa	26545864	deaths	0.0	2022-20	0.0	1927	Epidemic intelligence national data		2022-05-29
Canada	CAN	America	37742157	cases	24034.0	2022-20	145.797178470748	3847863	Epidemic intelligence national data		2022-05-29
Canada	CAN	America	37742157	deaths	437.0	2022-20	24.1639607402407	40695	Epidemic intelligence national data		2022-05-29
Cape Verde	CPV	Africa	555988	cases	67.0	2022-20	19.2450196766837	56172	Epidemic intelligence national data		2022-05-29
Cape Verde	CPV	Africa	555988	deaths	0.0	2022-20	0.0	401	Epidemic intelligence national data		2022-05-29
Cayman Islands	CYM	America	65720	cases	899.0	2022-20	2509.12964090079	24477	Epidemic intelligence national data		2022-05-29
Cayman Islands	CYM	America	65720	deaths	0.0	2022-20	0.0	28	Epidemic intelligence national data		2022-05-29
Central African Republic	CAF	Africa	4829764	cases	7.0	2022-20	0.207049454176229	14372	Epidemic intelligence national data		2022-05-29
Central African Republic	CAF	Africa	4829764	deaths	0.0	2022-20	0.0	113	Epidemic intelligence national data		2022-05-29
Chad	TCD	Africa	16425859	cases	3.0	2022-20	0.0182638850120411	7417	Epidemic intelligence national data		2022-05-29
